SPI12,Nino34,PDO,SAM,DMI
2.368886724,0.17,-0.05,-2.935,0.008
2.279419563,0.24,-0.43,-2.362,0.063
1.812483063,-0.15,-0.12,-2.786,0.04
1.553997528,-0.23,0.17,1.034,0.207
1.152874422,-0.12,-0.64,-1.108,0.056
-0.051952193,-0.61,-0.19,-3.017,0.155
0.083581958,-0.54,-0.11,-3.748,0.231
-0.059132624,-0.63,0.35,-4.205,0.333
-0.488533215,-0.23,0.42,-1.471,0.063
-0.972846669,-0.36,-0.82,-0.686,-0.186
-1.133932853,-1.11,-0.78,-0.719,-0.367
-1.334319243,-1.48,-0.73,-2.708,-0.542
-1.337883125,-1.36,-0.77,0.576,-0.867
-0.966677426,-1.36,-0.22,-0.542,-0.578
-0.74641434,-1.72,-0.68,-0.287,-0.441
-0.840547343,-1.64,-1.94,0.993,-0.049
-0.955732478,-1.56,-0.79,-0.725,0.158
-0.955677968,-1.2,-0.84,-1.743,0.133
0.616777635,-0.64,-0.71,-2.075,0.083
0.910549667,-0.29,-0.34,-0.293,-0.036
0.983427609,-0.3,0.82,-0.98,-0.181
1.19426007,-0.04,-0.03,-1.737,-0.126
1.164075951,-0.05,0.1,-2.675,-0.273
1.187137982,0.15,-0.22,-0.562,-0.127
1.224932551,-0.03,-0.4,-1.87,-0.477
1.156215115,0.04,-1.75,0.08,-0.678
1.206921823,-0.43,-0.34,0.662,-0.617
1.530112156,-0.72,-0.6,0.643,-0.434
1.52227383,-0.84,-1.13,1.641,0.198
1.801755986,-0.82,-0.66,-0.019,0.322
0.857049736,-0.96,-1.15,-1.777,0.275
1.137405828,-0.56,-0.32,-1.085,-0.09
1.118284571,-0.17,-0.33,-1.824,-0.2
0.824596686,0.37,0.07,-2.242,0.014
0.798371189,-0.07,0.98,-2.409,0.184
0.924920783,0.12,-0.31,-1.247,0.222
0.798824102,0.41,-0.59,0.769,0.376
0.639010372,0.93,0.61,-0.882,0.525
0.647811829,1.23,0.34,-0.632,0.462
0.272153049,1.3,0.86,0.691,0.285
0.264845704,1.6,-1.07,-1.947,0.153
0.048690525,1.24,1.31,0.675,0.061
-0.166536716,0.9,-0.5,-2.324,-0.109
-0.534256716,0.69,0.08,-0.572,-0.215
-0.523017085,0.63,0.17,-0.175,-0.18
-0.597759899,0.61,-0.71,0.037,-0.147
-0.617575137,0.4,-0.47,0.463,0.131
-0.137502061,0.62,0.38,0.595,-0.018
-0.097273094,0.5,0.06,-0.354,0.152
-0.035092983,0.13,-0.42,-0.652,0.03
0.560914471,-0.37,-0.8,0.97,0.003
1.001439443,0.34,0.76,0.271,-0.174
0.941708363,0.64,-1.18,0.199,0.195
0.936606848,0.6,0.06,-0.098,0.233
1.058431372,0.53,-0.78,-2.075,0.303
1.013629475,-0.16,-1.29,0.634,0.253
0.876809768,-0.21,-0.97,-3.266,0.483
0.974805128,0.29,-1.3,-2.487,0.148
0.883927757,0.15,-0.9,-1.761,-0.271
0.519911646,0.13,-2.21,-1.24,-0.292
0.888837133,0.27,-1.28,-0.658,-0.224
0.915370564,0.48,-1.06,-1.476,-0.072
0.399781282,-0.08,-0.26,-1.374,-0.31
-0.08956269,-0.01,0.29,-1.67,-0.159
-0.029228154,0.43,-0.66,-0.548,-0.109
-0.213694912,-0.52,-0.61,-1.965,0.032
-0.603861912,-1.42,-0.01,-2.809,0.09
-0.949181054,-0.55,-0.93,-2.415,0.006
0.225045127,-0.92,-0.42,-3.508,0.171
0.252731288,-0.21,0.4,-1.749,-0.007
0.244209354,-0.27,-0.58,0.192,-0.124
0.247807474,-0.29,-0.69,-1.055,-0.635
-0.143643685,-0.17,-0.78,0.471,-0.16
-0.160118598,0.04,-0.23,-3.513,-0.094
-0.438816409,-1.03,1.92,-1.475,-0.211
-0.112327405,-0.5,1.42,-1.102,-0.155
-0.191297727,-0.54,1.05,-2.499,-0.194
-0.14787808,-0.07,-0.85,-1.919,-0.019
0.219995071,0.08,0.08,-3.661,0.243
0.534246372,-0.54,0.43,-2.434,-0.193
-0.421169812,0.22,-0.19,-1.506,-0.157
-0.505762362,-0.44,-1.04,0.457,0.13
-0.306110824,-0.44,-0.82,0.02,-0.234
-0.207159878,-0.78,-0.93,-1.097,-0.115
-0.156894975,-0.38,-0.81,0.85,-0.133
-0.32798978,-0.26,0.84,-1.902,-0.155
-0.216665274,-0.31,-0.6,-0.734,-0.276
-0.420400618,-0.53,0.48,-2.844,-0.074
-0.277363077,-0.41,0.75,-4.94,-0.02
-0.307808287,-0.76,-0.04,-3.385,-0.223
-0.594968422,-0.85,0.49,-3.763,-0.115
-0.269505942,-0.55,0.99,-1.862,-0.048
-0.422547551,-0.25,-0.2,-4.29,-0.096
-0.002482955,-0.15,0.68,-4.785,0.108
-0.004408402,-0.2,1.16,-3.381,-0.092
-0.336765323,0.2,0.84,-3.036,0.288
-0.400152141,0.64,-0.24,-2.24,0.617
-0.365735517,0.79,1.1,-3.778,0.636
-0.5186702,0.87,0.62,-2.752,0.7
-0.182988551,1.02,-0.36,-0.369,0.02
-0.324597727,0.46,1.29,-2.62,-0.255
-0.189865535,0.63,0.73,-3.874,-0.413
-0.077149387,0.39,1.13,-2.591,-0.258
-0.674914057,-0.02,-0.02,-1.765,-0.067
-0.556931271,-0.85,0.36,-1.363,-0.189
-1.233950342,-0.67,0.75,0.484,-0.224
-1.43626632,-0.98,-0.55,0.248,-0.084
-1.403816748,-0.78,-0.67,0.116,-0.13
-1.196698678,-0.86,-0.48,0.634,-0.271
-0.807956706,-0.46,-1.25,-3.049,0.174
-0.770840224,-1.09,0.24,-1.968,-0.131
-1.383869714,-0.66,0.11,-0.888,-0.135
-1.122796503,-1.03,-0.05,-1.377,-0.131
-0.234263938,-0.47,-0.14,-3.726,0.153
-0.150004083,-0.53,0.2,-3.145,0.159
0.480180668,-0.52,0.86,-0.218,0.673
0.685661827,-0.4,0.79,-0.944,0.17
0.666997365,-0.18,-1.08,-1.095,0.291
0.699182806,0.5,-0.06,-1.475,0.131
0.6614427,0.68,-0.86,-1.613,0.256
0.589932774,0.77,0.52,-3.428,0.752
0.40850434,0.85,0.04,-3.332,0.466
0.555230592,1,0.88,-2.652,0.371
0.74218021,1.6,1.19,-1.613,0.077
0.560135198,1.52,0.3,-3.831,0.178
-0.257692991,1.29,0.98,-6.881,-0.178
0.089850842,1.19,-0.5,-2.732,0.125
-0.653506014,1.01,2.1,-3.713,-0.055
-1.000927495,0.83,1.43,-3.16,0.134
-0.897464419,0.61,2.03,-0.869,0.348
-0.83791856,0.63,1.05,-2.744,0.073
-0.745830831,0.15,1.64,-2.583,0.281
-0.835525604,-0.07,1.18,-1,-0.021
-0.962886661,-0.39,1.65,-4.882,0.252
-1.081916598,-0.27,1,-2.118,-0.228
-1.158145987,-0.23,1.06,-1.187,-0.188
-0.732592847,0.1,1.07,-1.556,-0.018
-0.641024621,0.23,1.73,-3.338,0.221
0.373646306,-0.18,0.15,-1.082,-0.031
0.314739601,-0.27,-0.18,-1.747,-0.203
0.255557284,-0.59,0.3,-0.072,-0.034
0.482287402,-0.15,0.69,0.057,0.045
0.676353979,-0.31,-0.31,-1.965,-0.262
0.790237257,-0.09,-0.73,-3.93,-0.311
1.012933393,-0.16,-0.41,-1.372,-0.275
1.087847791,0.27,-0.62,-0.632,-0.226
1.11202115,-0.04,-0.07,-0.205,-0.018
1.16970323,0.25,0.07,-0.412,-0.146
1.020824221,0.47,0.96,-1.696,-0.188
0.992511562,0.21,0.79,-1.561,-0.177
-0.318243022,-0.24,0.52,-1.357,-0.115
-0.282444677,-0.22,0.81,-1.29,-0.112
-0.166281442,-0.04,0.66,0.482,-0.057
-0.528849341,-0.26,0.15,-3.036,-0.258
-0.710967679,0.02,0.3,-0.884,-0.332
-0.684290037,-0.28,-0.72,-0.668,-0.583
-1.070711789,-0.13,-1.41,-2.519,-0.492
-0.965246854,-0.12,-1.31,-4.112,-0.343
-1.138949127,-0.17,0.14,-2.082,0.067
-1.147949331,-0.03,0.98,-1.656,-0.138
-1.130871529,-0.15,0.97,-3.449,-0.095
-1.142961366,-0.08,0.52,-2.528,-0.172
-0.96951408,-0.15,0.5,-2.18,-0.069
-1.027036982,-0.15,0.55,-3.07,-0.023
-0.477336382,-0.17,1.07,-0.226,-0.143
-0.134464753,0.13,0.5,-1.157,-0.039
-0.319880192,-0.02,-0.06,-1.005,-0.086
-0.458003013,0.1,-0.69,-2.971,-0.191
-0.453263719,0.3,0.45,-0.654,0.07
-0.46766739,0.4,-0.21,-0.366,0.017
-0.121592979,0.18,1.24,-3.523,-0.016
-0.322031262,0.63,-0.03,-4.483,0.201
-0.495606789,0.35,0.97,-0.878,-0.239
-0.442720963,0.39,-1.06,0.187,-0.332
-0.664367093,0.29,-0.43,-0.524,-0.148
-0.149854274,0.41,-0.7,-1.687,-0.054
-0.549936498,-0.04,0.06,-0.676,-0.231
-0.686090594,0.27,0.58,-1.395,0.06
-0.714802503,0.64,-0.45,-4.084,-0.099
-0.288123324,0.68,-0.53,-2.393,-0.041
-0.259430612,1.28,-0.2,-3.622,-0.422
-0.175209921,1.14,-0.38,-3.707,-0.048
-0.457254035,1.79,-0.31,-2.426,0.371
0.211873077,1.41,1.2,-0.876,0.114
0.353137086,1.49,0.08,-2.602,0.129
0.515866003,1.33,1.56,-2.914,-0.147
0.720643389,1.18,1.13,-2.419,-0.383
0.578863104,0.96,1.28,-1.797,-0.326
0.718618088,0.63,1.66,0.618,-0.039
0.748660202,0.48,0.39,0.999,-0.075
0.884188415,0.4,1.49,-1.486,-0.096
0.832966864,0.15,0.02,-1.073,-0.204
0.869427437,-0.42,-0.01,-2.781,-0.62
0.736945603,-0.22,-0.17,-0.588,-0.216
1.164401071,-0.27,0.34,-1.016,0.078
0.631477086,-0.28,1.09,-1.878,-0.575
0.627372954,-0.42,-0.26,-3.471,-0.24
0.379704966,-0.19,-0.58,-4.118,-0.391
0.104840317,0.25,0.51,-2.19,-0.256
0.063831405,0.25,1.15,-4.342,0.073
-0.120478297,0.28,0.64,-0.807,-0.153
-0.340600699,0.19,0.1,-2.955,-0.174
-0.466363769,-0.11,-0.12,-2.526,0.069
-0.090336939,0.09,-0.14,-1.448,-0.188
-0.060579824,0.02,-0.4,1.635,-0.027
0.174638619,0.02,-0.29,0.19,-0.349
-0.422697336,-0.04,-0.88,0.436,-0.049
-0.180657274,-0.41,0.02,-2.363,0.195
-0.239663428,-0.21,0.29,-4.175,-0.007
-0.238904609,-0.08,0.02,-3.558,0.094
-0.237569714,-0.2,0.15,-3.522,0.202
-0.493794632,0.01,-0.05,-1.639,0.371
-0.313967532,-0.4,-0.5,-1.509,-0.128
-0.273845388,-0.86,-0.68,-0.377,-0.098
-0.257323981,-0.66,-1.81,0.725,-0.148
-0.746371572,-0.94,-1.56,-1.642,-0.32
-0.749080804,-0.77,-2.28,-0.432,-1.166
-1.10853743,-1.1,-1.19,-2.302,-0.605
-0.770540325,-1.06,0.55,0.113,-0.337
-0.871148591,-1.21,-1.1,0.307,-0.236
-0.875597919,-0.93,0.17,-0.14,-0.416
-0.89795851,-0.87,0.68,-0.616,-0.075
-0.553843095,-0.95,1.34,0.343,-0.005
0.644358721,-0.42,1.63,1.1,0.063
0.296134307,-0.49,1.23,0.401,0.012
0.452499766,-0.33,0.51,0.388,0.186
0.474101951,-0.43,0.44,-0.671,-0.005
0.282374975,-0.33,1.54,0.398,0.281
0.244156741,-0.52,1.25,-0.133,-0.114
0.207148721,-0.26,2.1,0.253,0.052
0.114562955,-0.11,1.63,0.804,0.113
0.060695494,-0.24,1.67,0.133,0.068
0.046636266,-0.32,1.01,-2.221,0.182
0.37166518,-0.19,0.79,-1.536,0.138
0.287659485,-0.28,-0.11,-2.908,0.281
-0.929893923,-0.32,1.1,-4.918,-0.032
-0.913416629,-0.54,0.99,-1.471,0.272
-1.104183434,-0.4,1.39,-0.038,0.29
-1.009429837,-0.65,0.68,-2.533,0.354
-0.87256107,0.06,0.63,-4.42,0.269
-0.97588433,0.08,0.98,-3.481,0.126
-0.382470838,0.28,0.21,-1.353,0.061
-0.429117488,0.28,0.13,-1.302,0.368
-0.561410882,-0.04,1.78,0.023,0.239
-0.416892603,0.74,1.79,-1.605,0.256
-0.802958818,0.49,1.75,-1.152,-0.207
-1.200043374,0,1.36,-0.554,-0.052
-1.273977549,0.29,1.32,-0.957,0.125
-1.198402704,-0.07,1.83,-0.726,0.021
-1.198534324,-0.35,2.37,0.356,0.265
-1.012556569,-0.34,2.57,-1.437,0.248
-1.279608959,-0.32,1.71,-4.335,-0.138
-1.29456969,-0.1,0.04,-1.035,-0.063
-2.028783183,0.38,2.1,-1.058,-0.313
-1.990625679,-0.03,2.65,-1.618,0.204
-1.244568983,0.63,1.28,-0.747,-0.095
-1.32729074,-0.3,0,-2.997,0.069
-1.33519766,0.3,-0.49,-3.602,-0.052
0.116520187,0.25,0.38,-1.711,-0.104
0.107853557,0.21,0.2,-4.424,-0.221
0.265238104,-0.43,0.53,-2.45,0.255
0.327296093,-0.3,1.75,-1.752,-0.099
-0.007956923,0.09,0.11,0.425,-0.241
0.023799713,-0.2,-0.35,-1.914,0.036
0.058458002,0.17,0.63,-1.165,0.297
0.037990453,-0.1,0.76,-1.224,0.063
0.122059313,0.21,-0.18,0.159,0.141
-0.324637985,0.22,0.55,0.061,0.088
-0.222034804,-0.21,0.5,0.438,0.104
-0.238061434,0.23,0.02,-2.347,-0.046
-1.629455393,-0.06,0.24,-5.364,0.165
-1.603935008,0.09,0.27,-0.815,-0.157
-1.677229274,-0.33,-0.25,0.221,0.23
-1.454948106,-0.88,-0.2,1.434,-0.192
-0.98546801,-0.98,-0.21,0.046,-0.308
-0.95659247,-0.81,-0.45,-2.091,0.148
-0.948583347,-0.28,-0.01,-0.325,-0.073
-0.946370396,-0.75,0.07,-0.597,-0.23
-1.097070074,-0.72,0.48,-0.639,-0.44
-1.046561919,-0.79,1.4,-2.458,-0.308
-0.217653776,-0.67,1.36,-3.527,0.06
-0.098270369,-0.95,0.07,-0.927,0.387
-0.13713149,-0.85,-0.39,0.214,0.182
-0.049818273,-0.27,0.45,-0.455,-0.074
-0.153358478,-0.25,0.98,-1.753,-0.119
-0.372317774,0.05,1.04,-3.201,0.032
-0.50198664,0.25,-0.21,-2.742,-0.09
-0.38805242,0.06,-0.74,-6.211,-0.16
-0.419443996,0.43,-1.1,-2.049,0.092
-0.110720848,-0.47,-1.31,-1.397,0.178
0.211664457,0.32,-0.88,-0.994,-0.055
0.14573993,0.05,1.51,-0.783,0.125
-0.780226076,1.18,2.03,-1.312,0.267
-0.943773889,1.38,1.74,-3.049,-0.038
-1.042549021,1.19,1.89,0.042,-0.303
-1.24307609,0.8,2.37,0.5,-0.289
-1.159134037,0.34,2.32,0.485,-0.244
-1.237930559,0.55,2.43,1.01,0.175
-1.292518637,0.21,2.12,-0.523,-0.061
-1.585717561,0.75,1.4,1.391,0.043
-1.419039153,0.05,1.1,1.231,-0.004
-1.402873879,0.32,1.19,-0.289,-0.092
-2.077900132,0.7,0.68,-1.537,-0.081
-1.973171113,1.39,1.96,0.571,-0.09
-2.106963159,1.38,2.14,0.867,-0.183
-2.086623476,1.34,2.07,0.767,-0.438
-2.03268853,1.41,2.41,-2.66,-0.095
-1.350916785,1.36,1.89,-0.493,-0.081
-1.190564754,1.32,2.25,1.175,-0.053
-1.118632933,0.88,3.01,0.817,-0.166
-1.02887265,0.73,2.33,-1.275,-0.117
-0.722176481,0.79,3.31,-1.958,-0.124
-0.714832692,0.68,1.99,-0.054,0.049
-0.306022932,0.99,1.22,-1.021,0.178
-0.28980668,1.17,0.4,-0.936,0.527
-0.145130406,1.27,0.91,0.062,0.041
0.984175573,0.61,1.01,-0.485,-0.006
1.470328952,0.53,0.79,-1.909,-0.111
2.139155782,0.25,0.29,-2.869,-0.079
2.033154143,0.57,0.79,-0.52,-0.215
2.051777239,-0.1,0.84,-0.39,-0.383
2.244676925,-0.52,1.19,-0.449,-0.727
2.274143195,-0.55,0.12,-0.513,-0.382
2.219750371,-0.96,0.44,-2.912,-0.793
2.161102456,-1.17,0.68,-1.519,-0.555
1.872390409,-1.32,0.54,-1.13,-0.208
1.835927906,-1.5,-0.1,0.678,-0.33
2.187008725,-1.24,-1,1.233,-0.32
1.369385112,-1.2,-0.18,-1.323,-0.294
1.164409408,-1.18,0.02,-3.415,-0.057
1.165212388,-1.1,0.26,-0.801,-0.127
1.30569746,-0.6,1.08,-0.255,-0.019
1.112801884,-0.36,0.43,0.997,0.033
0.813692337,-0.11,0.68,1.039,0.363
0.686364584,-0.09,-0.36,-1.364,0.409
0.691939804,0.05,-0.9,-0.182,0.333
0.772892274,-0.24,-0.49,1.06,-0.262
0.603173465,-0.44,-0.04,0.012,-0.156
0.661422616,-0.5,0.29,0.459,-0.121
0.507775996,-0.42,0.58,1.192,-0.157
0.449726383,-0.42,0.18,-0.004,0.032
0.096170146,0.16,0.17,-1.318,0.422
-1.028176818,-0.21,0.08,-2.132,-0.012
-1.408411706,0.11,0.72,-2.395,-0.041
-1.071006803,0.14,-0.35,-0.771,0.497
-1.128303804,0.04,-0.98,0.86,0.093
-1.00251868,0.08,-0.4,-0.876,0.363
-0.81926222,0,-0.51,1.84,0.343
-0.98752866,-0.31,-0.56,1.227,0.382
-1.032169525,-0.22,-0.4,0.026,-0.22
-0.714064401,-0.35,0.33,-2.003,0.015
-1.173531258,-0.26,0.2,-2.95,0.4
-1.034844559,-0.36,-1.02,-1.091,0.051
-1.02295773,-0.47,0.72,-1.923,0.274
-0.986415715,-0.79,-0.42,-1.989,0.372
-1.210185289,-0.76,-0.4,-0.974,-0.122
-1.536935283,-0.46,-0.07,-1.349,-0.346
-1.081399536,-0.59,0.56,-2.541,-0.35
-1.147279751,-0.61,1.02,0.109,-0.211
-1.288696411,-0.84,0.18,-1.208,-0.352
-1.063823314,-0.82,-0.27,-0.987,-0.208
-1.104795149,-0.86,0.1,-1.524,-0.138
-1.509036809,-0.42,-1.94,0.576,-0.063
-1.397714217,-0.54,-0.74,0.946,-0.101
-1.334384304,-0.44,-0.91,-0.192,0.253
-1.053128716,-0.24,-0.32,-2.267,0.171
-1.160405497,-0.36,-0.41,-1.5,-0.055
-1.09216935,-0.48,-0.78,-1.007,-0.354
-0.997047401,-0.39,0.5,-0.557,0.505
-1.319173884,0.15,-0.86,-0.112,-0.111
-1.312788301,0.03,-0.84,-3.693,0.154
-1.517027495,-0.52,-0.36,-2.727,0.455
-1.469521242,-0.19,-0.22,0.403,0.317
-1.426208419,-0.01,-0.36,-1.201,0.206
-0.902159489,-0.18,-1.48,-4.762,0.242
-1.043360994,0.03,-0.96,-1.446,-0.016
-0.932654344,0.39,-0.73,-2.753,-0.105
-0.865016716,-0.13,-0.29,0.205,0.216
-0.143883883,0.28,1.17,0.699,0.17
0.392414647,-0.07,0.7,0.275,0.014
0.485697546,-0.55,0.37,0.201,0.319
0.420375106,0.07,1.36,-0.919,0.148
0.484886888,-0.39,0.16,-1.674,-0.31
0.719796358,-0.37,0.3,-1.302,-0.351
0.771679169,-1.05,0.58,0.681,-0.573
1.09384872,-0.82,0.85,-1.174,-0.432
1.037542225,-0.73,-0.14,-0.217,-0.042
0.905285536,0.18,1.67,-0.505,-0.03
0.730536425,0.05,-0.11,-0.97,-0.111
2.142269511,0.37,-0.74,-0.593,0.029
1.731108997,0.63,-0.03,-0.751,0.193
1.432207311,0.25,-1.33,-0.88,0.097
1.250096009,0.31,-0.23,-1.972,0.133
1.391694525,0.06,0.08,1.751,0.263
1.32961147,-0.06,-0.92,-1.135,0.051
1.114795282,-0.02,-1.56,-3.303,-0.149
0.911112466,-0.02,-1.74,-2.26,-0.26
0.67410315,-0.68,-1.32,-1.603,0.086
0.387984038,-0.3,-0.89,-1.559,-0.11
0.448317985,0.38,-1.7,-1.876,-0.277
0.454250315,-0.46,-2.01,-2.42,0.209
-1.777859196,0.26,-3.6,-2.552,0.356
-1.806882447,-0.55,-1,-0.661,0.051
-2.112961128,0.19,-0.53,-2.703,0.362
-1.944941412,-0.07,-1.07,-0.577,0.128
-2.272224279,-0.72,-0.7,1.641,0.203
-2.282671693,-0.39,-0.56,-1.498,0.297
-1.973822334,-0.32,-1.3,0.058,0.308
-1.813095399,-0.65,-0.93,0.617,0.291
-1.633652747,-0.72,-1.41,-1.975,0.249
-1.245366125,-1.33,-0.83,-0.409,-0.12
-1.095871007,-1.2,-0.8,-4.008,-0.097
-1.06151538,-1.05,-2.13,-3.553,0.144
-1.468706566,-1.5,-2.91,0.242,-0.363
-1.471084302,-1.07,-1.13,-2.795,-0.521
-1.492244593,-0.91,-1.2,-2.217,-0.273
-0.609153952,-1.3,-2.23,-0.535,-0.092
-0.529637001,-0.86,-1.77,-0.329,-0.287
-0.681945978,-1.08,-2.93,2.039,-0.037
-0.858871241,-0.63,-0.7,-0.705,0.078
-0.918939454,-1.1,-2.14,-0.263,-0.243
-1.03007971,-0.83,-1.36,-0.457,-0.21
-1.309017102,-1.38,-2.46,-1.562,0.047
-1.59364237,-1.04,-0.76,0.672,0.202
-0.98447412,-1.13,-1.54,0.608,0.446
-0.768081471,-0.74,-1.06,0.358,0.398
-0.549324884,-0.77,-1.9,-0.958,0.423
-0.1951416,-0.17,-0.36,-3.476,-0.309
-0.756176542,-0.1,-0.25,-1.33,0.073
-0.233049878,-0.09,-1.09,-0.568,0.027
-0.060407713,0.66,0.7,-0.261,0.093
-0.098860256,0.9,-1.37,-3.05,0.417
0.017434085,0.67,-0.08,0.679,0.376
-0.085840506,0.79,-0.32,-3.519,0.203
-0.169660577,0.78,-0.28,-6.533,0.382
0.107923066,0.71,-1.68,-2.934,0.153
0.474385368,0.39,-2.01,-1.922,0.116
0.617712045,0.24,-0.46,1.184,0.262
0.624131221,0.04,-0.63,-2.126,0.287
0.435430555,0.41,-1.05,-1.916,0.268
0.240638233,-0.38,-1,-2.44,0.069
-0.332192634,-0.66,-1.43,-3.33,0.226
-0.446286508,-0.59,-1.25,1.46,-0.114
-0.506383392,-0.42,-0.6,-0.111,-0.159
-0.521228844,-0.35,-0.89,-1.738,-0.214
-0.29854055,-0.04,-0.35,-1.184,-0.164
-0.246846279,-0.32,-0.76,-2.418,0.103
-0.533605809,-0.55,0.04,-0.897,0.205
-1.631114004,0.36,-0.57,-0.33,0.491
-2.145198427,0.24,-0.07,-1.626,0.463
-1.263328501,0.22,-1.12,-1.141,0.35
-1.028328824,0.77,0.05,-3.997,0.145
-0.675258975,0.35,0.43,-1.702,0.528
-0.310797746,0.41,0.29,0.553,0.089
-0.166293302,0.2,0.74,-1.712,0.128
0.273354569,0.04,0.05,-1.051,0.063
0.186706261,0.67,-0.63,-1.415,0.144
0.100911752,0.11,-1.09,-0.572,0.066
0.05012382,0.31,-0.03,-0.942,0.127
0.156815255,0.15,0.07,-0.796,0.11
0.156628179,0.39,-1.32,0.459,-0.158
0.143746346,0.21,-1.61,0.533,-0.089
-0.647621946,0.01,-0.52,-3.739,0.01
-0.834771862,-0.32,-1.33,-0.492,0.181
-0.955099903,-0.53,0.01,-0.233,-0.333
-1.166746153,-0.8,0.97,-1.091,-0.297
-1.174239416,-1.02,0.43,-1.768,-0.535
-1.696161672,-1.08,0.08,-2.183,-0.327
-1.525156491,-1.03,-0.94,1.448,-0.331
-1.419878591,-0.91,0.52,0.62,-0.454
-1.390677287,-1.17,0.72,-1.74,-0.178
-1.50087475,-0.79,-0.5,-2.688,0.175
-0.700252833,-0.66,0.2,-0.032,0.133
-0.161189968,-0.79,-1.52,1.406,0.036
0.30179678,-0.8,-1.26,0.641,0.188
0.574916835,-0.95,-1.97,-1.422,0.159
0.550796627,-1.23,-1.21,0.13,-0.47
1.126688647,-1.2,-2.44,1.185,-0.173
1.122536061,-1.32,-2.35,-0.109,-0.126
1.221374929,-0.91,-2.25,-4.445,-0.126
1.650628033,-1.33,-1.95,0.872,-0.349
1.524858903,-1.59,-2.8,-1.953,-0.344
1.632555003,-1.91,-3.08,-3.183,0.003
1.632653808,-1.52,-2.75,-1.13,-0.064
1.160364725,-1.23,-2.48,-2.606,0.088
0.784700106,-0.98,-2.74,-2.258,0.165
0.372864287,-0.93,-2.56,-0.345,0.171
0.009868442,-0.78,-2.17,-2.491,-0.097
0.200303884,-0.59,-1.41,-0.946,-0.348
